card_no,bird_name,search_key,audio_file,audio_path,clip_index,clip_type,is_main,source_id,file_size_bytes
78,Gray Catbird,graycatbird,78_Gray_Catbird_10222_3_call.m4a,src/AudioClip/78_Gray_Catbird_10222_3_call.m4a,3,call,false,10222,3795
78,Gray Catbird,graycatbird,78_Gray_Catbird_10222_4_call.m4a,src/AudioClip/78_Gray_Catbird_10222_4_call.m4a,4,call,false,10222,44888
79,Northern Mockingbird,northernmockingbird,79_Northern_Mockingbird_85197_1_song.m4a,src/AudioClip/79_Northern_Mockingbird_85197_1_song.m4a,1,song,false,85197,7429
79,Northern Mockingbird,northernmockingbird,79_Northern_Mockingbird_85197_2_call.m4a,src/AudioClip/79_Northern_Mockingbird_85197_2_call.m4a,2,call,false,85197,4194
79,Northern Mockingbird,northernmockingbird,79_Northern_Mockingbird_85197_3_song.m4a,src/AudioClip/79_Northern_Mockingbird_85197_3_song.m4a,3,song,false,85197,5614
79,Northern Mockingbird,northernmockingbird,79_Northern_Mockingbird_85197_4_song_main.m4a,src/AudioClip/79_Northern_Mockingbird_85197_4_song_main.m4a,4,song,true,85197,60078
7,Loggerhead Shrike,loggerheadshrike,7_Loggerhead_Shrike_42999_1_call.m4a,src/AudioClip/7_Loggerhead_Shrike_42999_1_call.m4a,1,call,false,42999,7284
7,Loggerhead Shrike,loggerheadshrike,7_Loggerhead_Shrike_42999_2_call.m4a,src/AudioClip/7_Loggerhead_Shrike_42999_2_call.m4a,2,call,false,42999,8244
7,Loggerhead Shrike,loggerheadshrike,7_Loggerhead_Shrike_42999_3_call.m4a,src/AudioClip/7_Loggerhead_Shrike_42999_3_call.m4a,3,call,false,42999,7371
7,Loggerhead Shrike,loggerheadshrike,7_Loggerhead_Shrike_42999_4_call_main.m4a,src/AudioClip/7_Loggerhead_Shrike_42999_4_call_main.m4a,4,call,true,42999,38290
80,Hooded Merganser,hoodedmerganser,80_Hooded_Merganser_101078_1_call.m4a,src/AudioClip/80_Hooded_Merganser_101078_1_call.m4a,1,call,false,101078,8134
80,Hooded Merganser,hoodedmerganser,80_Hooded_Merganser_101078_2_call.m4a,src/AudioClip/80_Hooded_Merganser_101078_2_call.m4a,2,call,false,101078,3844
80,Hooded Merganser,hoodedmerganser,80_Hooded_Merganser_101078_3_call.m4a,src/AudioClip/80_Hooded_Merganser_101078_3_call.m4a,3,call,false,101078,3667
80,Hooded Merganser,hoodedmerganser,80_Hooded_Merganser_101078_3_call_main.m4a,src/AudioClip/80_Hooded_Merganser_101078_3_call_main.m4a,3,call,true,101078,29759
81,Bewicks Wren,bewickswren,81_Bewicks_Wren_9053_1_call.m4a,src/AudioClip/81_Bewicks_Wren_9053_1_call.m4a,1,call,false,9053,6990
81,Bewicks Wren,bewickswren,81_Bewicks_Wren_9053_2_song.m4a,src/AudioClip/81_Bewicks_Wren_9053_2_song.m4a,2,song,false,9053,6575
81,Bewicks Wren,bewickswren,81_Bewicks_Wren_9053_3_call.m4a,src/AudioClip/81_Bewicks_Wren_9053_3_call.m4a,3,call,false,9053,3109
81,Bewicks Wren,bewickswren,81_Bewicks_Wren_9053_4_song_main.m4a,src/AudioClip/81_Bewicks_Wren_9053_4_song_main.m4a,4,song,true,9053,28682
82,Yellow Breasted Chat,yellowbreastedchat,82_Yellow_Breasted_Chat_84815_1_song.m4a,src/AudioClip/82_Yellow_Breasted_Chat_84815_1_song.m4a,1,song,false,84815,8123
82,Yellow Breasted Chat,yellowbreastedchat,82_Yellow_Breasted_Chat_84815_2_song.m4a,src/AudioClip/82_Yellow_Breasted_Chat_84815_2_song.m4a,2,song,false,84815,7776
82,Yellow Breasted Chat,yellowbreastedchat,82_Yellow_Breasted_Chat_84815_3_call.m4a,src/AudioClip/82_Yellow_Breasted_Chat_84815_3_call.m4a,3,call,false,84815,4303
82,Yellow Breasted Chat,yellowbreastedchat,82_Yellow_Breasted_Chat_84815_4_song.m4a,src/AudioClip/82_Yellow_Breasted_Chat_84815_4_song.m4a,4,song,false,84815,33127
83,Common Nighthawk,commonnighthawk,83_Common_Nighthawk_516720_1_call.m4a,src/AudioClip/83_Common_Nighthawk_516720_1_call.m4a,1,call,false,516720,4584
83,Common Nighthawk,commonnighthawk,83_Common_Nighthawk_516720_2_call.m4a,src/AudioClip/83_Common_Nighthawk_516720_2_call.m4a,2,call,false,516720,4081
83,Common Nighthawk,commonnighthawk,83_Common_Nighthawk_516720_3_call.m4a,src/AudioClip/83_Common_Nighthawk_516720_3_call.m4a,3,call,false,516720,7639
